(Tukey Ninther, 0, 10, 39, 730, 729, 1377, 1399)
(Tukey Ninther, 0, 3, 46, 251, 250, 664, 689)
(Tukey Ninther, 0, 1, 37, 118, 117, 177, 203)
(Tukey Ninther, 0, 0, 39, 40, 39, 40, 79)
(Tukey Ninther, 145, 2, 174, 175, 174, 175, 203)
(Tukey Ninther, 277, 8, 297, 579, 578, 635, 689)
(Tukey Ninther, 277, 6, 303, 441, 440, 509, 557)
(Tukey Ninther, 277, 4, 323, 324, 323, 395, 413)
(Tukey Ninther, 343, 5, 378, 379, 378, 379, 413)
(Tukey Ninther, 490, 7, 523, 524, 523, 524, 557)
(Tukey Ninther, 634, 9, 661, 662, 661, 662, 689)
(Tukey Ninther, 753, 17, 790, 1195, 1194, 1347, 1399)
(Tukey Ninther, 753, 14, 776, 987, 986, 1129, 1156)
(Tukey Ninther, 753, 13, 771, 913, 912, 913, 962)
(Tukey Ninther, 753, 11, 803, 804, 803, 871, 893)
(Tukey Ninther, 827, 12, 860, 861, 860, 861, 893)
(Tukey Ninther, 1015, 15, 1063, 1064, 1063, 1124, 1156)
(Tukey Ninther, 1097, 16, 1126, 1127, 1126, 1127, 1156)
(Tukey Ninther, 1248, 18, 1294, 1295, 1294, 1380, 1399)
(Tukey Ninther, 1315, 19, 1357, 1358, 1357, 1358, 1399)
